RIO AU Equity,,,BHP AU Equity,,,FMG AU Equity,,,1208 HK Equity,,,010130 KS Equity,,,FM CN Equity,,,MIN AU Equity,,,HZ IN Equity,,,HBM CN Equity,,,AS51 Index,
15/08/2025,291.744,,15/08/2025,101.522,,15/08/2025,75.9533,,15/08/2025,4.99,,14/08/2025,1066295,,15/08/2025,24.2863,,15/08/2025,57.6375,,14/08/2025,1108.88,,15/08/2025,15.7016,,15/08/2025,15193.8844
14/08/2025,287.686,,14/08/2025,100.433,,14/08/2025,74.9962,,14/08/2025,4.58,,13/08/2025,1050440,,14/08/2025,24.2044,,14/08/2025,56.6464,,13/08/2025,1118.11,,14/08/2025,15.681,,14/08/2025,15083.7298
13/08/2025,290.549,,13/08/2025,100.966,,13/08/2025,76.2979,,13/08/2025,4.66,,12/08/2025,1024013,,13/08/2025,24.3784,,13/08/2025,56.2532,,12/08/2025,1100.57,,13/08/2025,16.0624,,13/08/2025,14995.1017
12/08/2025,287.788,,12/08/2025,99.829,,12/08/2025,75.2642,,12/08/2025,4.22,,11/08/2025,1051761,,12/08/2025,24.2453,,12/08/2025,58.9903,,11/08/2025,1084.84,,12/08/2025,13.9902,,12/08/2025,15085.9965
11/08/2025,284.262,,11/08/2025,98.885,,11/08/2025,74.3454,,11/08/2025,4.2,,08/08/2025,1043833,,11/08/2025,23.7436,,11/08/2025,59.9656,,08/08/2025,1093.42,,11/08/2025,13.5572,,11/08/2025,15024.7984
08/08/2025,280.144,,08/08/2025,97.288,,08/08/2025,72.1633,,08/08/2025,4.14,,07/08/2025,1076866,,08/08/2025,24.2965,,08/08/2025,53.4531,,07/08/2025,1103.68,,08/08/2025,13.6603,,08/08/2025,14960.7858
07/08/2025,277.038,,07/08/2025,96.466,,07/08/2025,70.8617,,07/08/2025,4.02,,06/08/2025,1013443,,07/08/2025,23.7129,,07/08/2025,52.3205,,06/08/2025,1091.47,,07/08/2025,13.2891,,07/08/2025,15001.9916
06/08/2025,278.492,,06/08/2025,96.538,,06/08/2025,71.1297,,06/08/2025,3.98,,05/08/2025,1008158,,06/08/2025,23.4979,,06/08/2025,52.1475,,05/08/2025,1094.72,,06/08/2025,13.0211,,06/08/2025,15022.8756
05/08/2025,275.829,,05/08/2025,96.296,,05/08/2025,70.2109,,05/08/2025,3.94,,04/08/2025,1002872,,05/08/2025,23.8972,,05/08/2025,51.8171,,04/08/2025,1095.76,,05/08/2025,13.0932,,05/08/2025,14898.4192
04/08/2025,274.646,,04/08/2025,95.788,,04/08/2025,69.8663,,04/08/2025,3.83,,01/08/2025,1002872,,01/08/2025,22.7095,,04/08/2025,48.3878,,01/08/2025,1079.64,,01/08/2025,12.8974,,04/08/2025,14717.2087
01/08/2025,273.438,,01/08/2025,94.893,,01/08/2025,68.8327,,01/08/2025,3.72,,31/07/2025,1057046,,31/07/2025,23.846,,01/08/2025,46.972,,31/07/2025,1102.13,,31/07/2025,13.2582,,01/08/2025,14714.36
31/07/2025,275.41,,31/07/2025,94.965,,31/07/2025,68.0287,,31/07/2025,3.84,,30/07/2025,1100649,,30/07/2025,23.5491,,31/07/2025,44.9742,,30/07/2025,1123.96,,30/07/2025,13.0932,,31/07/2025,14851.606
30/07/2025,285.544,,30/07/2025,97.312,,30/07/2025,69.6366,,30/07/2025,4,,29/07/2025,1057046,,29/07/2025,24.0201,,30/07/2025,48.4193,,29/07/2025,1136.82,,29/07/2025,14.0108,,30/07/2025,14874.576
29/07/2025,288.305,,29/07/2025,97.796,,29/07/2025,69.2155,,29/07/2025,4.02,,28/07/2025,1076866,,28/07/2025,24.1634,,29/07/2025,47.3496,,28/07/2025,1122.92,,28/07/2025,13.9696,,29/07/2025,14786.6641
28/07/2025,288.355,,28/07/2025,97.506,,28/07/2025,69.4452,,28/07/2025,4.04,,25/07/2025,1079508,,25/07/2025,24.2965,,28/07/2025,47.5698,,25/07/2025,1141.5,,25/07/2025,13.9696,,28/07/2025,14774.9311
25/07/2025,293.064,,25/07/2025,98.716,,25/07/2025,70.2492,,25/07/2025,4.12,,24/07/2025,1078187,,24/07/2025,24.5115,,25/07/2025,50.8418,,24/07/2025,1159.43,,24/07/2025,14.2479,,25/07/2025,14722.5223
24/07/2025,295.53,,24/07/2025,100.651,,24/07/2025,72.7375,,24/07/2025,4.15,,23/07/2025,1091400,,23/07/2025,24.9211,,24/07/2025,50.4957,,23/07/2025,1161.38,,23/07/2025,14.4541,,24/07/2025,14794.8094
23/07/2025,294.568,,23/07/2025,101.256,,23/07/2025,69.7132,,23/07/2025,4.11,,22/07/2025,1101971,,22/07/2025,24.9108,,23/07/2025,48.2305,,22/07/2025,1151.9,,22/07/2025,14.0314,,23/07/2025,14841.9437
22/07/2025,291.733,,22/07/2025,100.433,,22/07/2025,68.1819,,22/07/2025,4.09,,21/07/2025,1101971,,21/07/2025,24.2658,,22/07/2025,48.6552,,21/07/2025,1155.67,,21/07/2025,13.8458,,22/07/2025,14740.0479
21/07/2025,282.215,,21/07/2025,97.893,,21/07/2025,66.038,,21/07/2025,3.87,,18/07/2025,1068938,,18/07/2025,23.9484,,21/07/2025,47.1765,,18/07/2025,1131.88,,18/07/2025,13.8252,,21/07/2025,14724.7527
18/07/2025,278.887,,18/07/2025,97.482,,18/07/2025,65.081,,18/07/2025,3.74,,17/07/2025,1090079,,17/07/2025,24.1634,,18/07/2025,45.745,,17/07/2025,1136.04,,17/07/2025,13.8871,,18/07/2025,14875.9503
